plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd hash MB isEngine nROCs power mrot phi HDorLD hash_hdld
1 8 6 FM 837.200 870.000 1 6 837.200 773.400 920.900 821.700 920.900 918.400 837.200 966.700 753.500 918.400 753.500 821.700 837.200 773.400 0 0 1.853 2.000 0.678 1.000 0.666 1.000 108060 10 False 3 3.600 1 46.101 0 108060
1 9 6 FO 1004.600 870.000 1 6 1004.600 773.400 1088.400 821.700 1088.400 918.400 1004.600 966.700 920.900 918.400 920.900 821.700 1004.600 773.400 0 0 1.651 2.000 0.607 1.000 0.601 1.000 109060 9 False 3 3.600 1 40.893 0 109060
1 8 7 FO 753.500 1015.100 1 6 753.500 918.400 837.200 966.700 837.200 1063.400 753.500 1111.700 669.800 1063.400 669.800 966.700 753.500 918.400 0 0 1.782 2.000 0.642 1.000 0.633 1.000 108070 11 False 3 3.600 1 53.414 0 108070
1 9 7 FO 920.900 1015.100 1 6 920.900 918.400 1004.600 966.700 1004.600 1063.400 920.900 1111.700 837.200 1063.400 837.200 966.700 920.900 918.400 0 0 1.815 2.000 0.619 1.000 0.619 1.000 109070 10 False 3 3.600 1 47.786 0 109070
1 9 8 bOe 837.200 1160.100 2 5 920.900 1208.400 753.500 1208.400 753.500 1111.700 837.200 1063.400 920.900 1111.700 920.900 1208.400 0.000 0.000 0 0 1.160 2.000 0.466 1.000 0.466 1.000 109080 11 False 3 3.600 2 54.183 0 109080
1 2 0 gIe 334.900 0.000 3 6 334.900 96.700 310.300 82.500 310.300 -82.500 334.900 -96.700 418.600 -48.300 418.600 48.300 334.900 96.700 0 0 6.754 7.000 4.121 4.000 4.121 4.000 102000 0 False 6 7.200 3 0.000 1 102001
1 2 1 dIe 251.200 145.000 3 5 251.200 241.700 226.600 227.500 310.300 82.500 334.900 96.700 334.900 193.300 251.200 241.700 0.000 0.000 0 0 4.363 5.000 2.587 3.000 2.587 3.000 102010 5 False 3 3.600 3 29.995 1 102011
1 9 0 cOe 1507.000 0.000 5 3 1423.200 -48.300 1507.000 96.700 1423.200 48.300 1423.200 -48.300 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0.000 0.120 0.000 0.120 0.000 109000 1 False 3 3.600 5 0.000 0 109000
1 10 2 cOe 1507.000 290.000 0 3 1507.000 193.300 1423.200 338.400 1423.200 241.700 1507.000 193.300 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0.000 0.120 0.000 0.120 0.000 110020 6 False 3 3.600 0 10.893 0 110020
1 10 3 aOe 1423.200 435.000 0 4 1423.200 338.400 1423.200 531.700 1339.500 483.400 1339.500 386.700 1423.200 338.400 0.000 0.000 0.000 0.000 0 0 0.813 1.000 0.323 1.000 0.323 1.000 110030 7 False 3 3.600 0 16.996 0 110030
1 10 4 bOe 1339.500 580.000 1 5 1423.200 531.700 1339.500 676.700 1255.800 628.400 1255.800 531.700 1339.500 483.400 1423.200 531.700 0.000 0.000 0 0 1.187 2.000 0.445 1.000 0.445 1.000 110040 8 False 3 3.600 1 23.412 0 110040
