plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd hash MB isEngine nROCs power mrot phi HDorLD hash_hdld dataPp0 trigPp0 dataPp1 trigPp1
1 5 3 FI 586.000 435.000 1 6 586.000 338.400 669.800 386.700 669.800 483.400 586.000 531.700 502.300 483.400 502.300 386.700 586.000 338.400 0 1 3.389 4.000 1.709 2.000 1.764 2.000 105030 4 True 6 7.200 1 36.587 1 105031 1010 101010 -55 -33
1 5 4 FM 502.300 580.000 1 6 502.300 483.400 586.000 531.700 586.000 628.400 502.300 676.700 418.600 628.400 418.600 531.700 502.300 483.400 0 1 3.317 4.000 1.338 2.000 1.333 2.000 105040 11 False 3 3.600 1 49.106 0 105040 1010 101010 -55 -33
1 5 5 FM 418.600 725.036 1 6 502.345 676.686 502.279 773.373 418.621 821.673 334.855 773.386 334.921 676.700 418.579 628.400 502.345 676.686 1 0 2.975 4.000 1.165 1.000 1.147 1.000 105050 101 False 3 3.600 0 60.000 0 105050 1020 101020 -55 -33
1 5 6 FM 334.876 870.023 1 6 418.621 821.673 418.555 918.359 334.897 966.659 251.132 918.373 251.197 821.686 334.855 773.386 418.621 821.673 1 0 2.568 3.000 0.988 1.000 0.972 1.000 105060 103 False 3 3.600 0 68.948 0 105060 1020 101020 -55 -33
1 5 7 FM 251.153 1015.009 1 6 334.897 966.659 334.882 1063.432 251.137 1111.782 167.408 1063.359 167.387 966.723 251.132 918.373 334.897 966.659 1 0 2.126 3.000 0.838 1.000 0.814 1.000 105070 106 True 3 3.600 0 76.102 0 105070 1020 101020 -55 -33
1 5 8 FM 167.479 1160.082 1 6 251.137 1111.782 251.158 1208.418 167.413 1256.768 83.734 1208.432 83.663 1111.709 167.408 1063.359 251.137 1111.782 1 0 1.837 2.000 0.744 1.000 0.724 1.000 105080 107 True 3 3.600 0 81.785 0 105080 1021 101021 -55 -33
1 5 9 FO 83.755 1305.068 1 6 167.413 1256.768 167.434 1353.405 83.690 1401.755 0.011 1353.418 -0.010 1256.782 83.734 1208.432 167.413 1256.768 1 0 1.705 2.000 0.617 1.000 0.610 1.000 105090 108 False 3 3.600 0 86.328 0 105090 1021 101021 -55 -33
1 5 10 dOe 0.032 1450.055 1 5 83.690 1401.755 83.768 1450.091 -83.705 1450.018 -83.734 1401.768 0.011 1353.418 83.690 1401.755 0.000 0.000 1 0 0.717 1.000 0.358 1.000 0.358 1.000 105100 108 False 2 2.400 0 89.999 0 105100 1021 101021 -55 -33
1 6 0 FM 1004.600 0.000 0 6 1004.600 -96.700 1088.400 -48.300 1088.400 48.300 1004.600 96.700 920.900 48.300 920.900 -48.300 1004.600 -96.700 0 0 2.248 3.000 0.884 1.000 0.860 1.000 106000 1 True 3 3.600 0 0.000 0 106000 1000 101000 -55 -33
1 6 1 FM 920.900 145.000 0 6 920.900 48.300 1004.600 96.700 1004.600 193.300 920.900 241.700 837.200 193.300 837.200 96.700 920.900 48.300 0 0 2.568 3.000 0.988 1.000 0.972 1.000 106010 3 False 3 3.600 0 8.948 0 106010 1000 101000 -55 -33
